Category,Score,Item,Calories,Protein,Dietary Fiber,Sugars,Water,Sodium,Saturated Fat
Vegetables and Vegetable Products,22,"Chicory roots, raw",72,1.4,1.5,8.73,80,50,0.048
Fruits and Fruit Juices,22,"Blueberries, frozen, sweetened",85,0.4,2.2,19.72,77.4,1,0.011
Fruits and Fruit Juices,21,"Apricots, canned, heavy syrup pack, with skin, solids and liquids",83,0.53,1.6,19.87,77.56,4,0.005
Fruits and Fruit Juices,21,"Apricots, canned, heavy syrup, drained",83,0.64,2.7,18.65,77.56,4,0.007
Vegetables and Vegetable Products,21,"Corn, sweet, yellow, cooked, boiled, drained, without salt",96,3.41,2.4,4.54,73.41,1,0.197
Vegetables and Vegetable Products,21,"Tomatoes, crushed, canned",32,1.64,1.9,4.4,89.44,132,0.04
Vegetables and Vegetable Products,21,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, without salt",94,3.11,2.8,3.59,73.2,4,0.114
Fruits and Fruit Juices,21,"Bananas, raw",89,1.09,2.6,12.23,74.91,1,0.112
Vegetables and Vegetable Products,21,"Corn, sweet, yellow, raw",86,3.27,2,6.26,76.05,15,0.325
Fruits and Fruit Juices,21,"Pomegranates, raw",83,1.67,4,13.67,77.93,3,0.12
Vegetables and Vegetable Products,21,"Potato, baked, flesh and skin, without salt",93,2.5,2.2,1.18,74.89,10,0.035
Fruits and Fruit Juices,21,"Cherries, sweet, canned, pitted, heavy syrup, drained",83,0.73,2.3,16.18,77.61,3,0.041
Vegetables and Vegetable Products,21,"Artichokes, (globe or french), raw",47,3.27,5.4,0.99,84.94,94,0.036
Vegetables and Vegetable Products,21,"Potatoes, white, flesh and skin, baked",94,2.1,2.1,1.53,75.43,7,0.022
Vegetables and Vegetable Products,21,"Cowpeas (blackeyes), immature seeds, raw",90,2.95,5,3,77.2,4,0.09
Vegetables and Vegetable Products,21,"Corn, sweet, white, raw",86,3.22,2.7,3.22,75.96,15,0.182
Fruits and Fruit Juices,21,"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",83,0.6,1.4,16.18,77.61,3,0.034
Vegetables and Vegetable Products,20,"Peas, green, cooked, boiled, drained, without salt",84,5.36,5.5,5.93,77.87,3,0.039
Vegetables and Vegetable Products,20,"Potatoes, baked, flesh, without salt",93,1.96,1.5,1.7,75.42,5,0.026
Vegetables and Vegetable Products,20,"Potatoes, red, flesh and skin, baked",89,2.3,1.8,1.43,76.67,12,0.026
Vegetables and Vegetable Products,20,"Peas, green, raw",81,5.42,5.1,5.67,78.86,5,0.071
Fruits and Fruit Juices,20,"Strawberries, frozen, sweetened, whole",78,0.52,1.9,18.61,78.05,1,0.007
Vegetables and Vegetable Products,20,"Sweet potato, cooked, boiled, without skin",76,1.37,2.5,5.74,80.13,27,0.031
Fruits and Fruit Juices,20,"Peaches, dried, sulfured, stewed, without added sugar",77,1.16,2.7,16.99,78.1,2,0.026
Fruits and Fruit Juices,20,"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",76,0.48,0.6,19.05,79.53,5,0.033
Fruits and Fruit Juices,19,"Peaches, spiced, canned, heavy syrup pack, solids and liquids",75,0.41,1.3,18.78,79.2,4,0.011
Vegetables and Vegetable Products,19,"Burdock root, cooked, boiled, drained, without salt",88,2.09,1.8,3.55,75.64,4,0.023
Fruits and Fruit Juices,19,"Peaches, canned, heavy syrup pack, solids and liquids",74,0.45,1.3,18.64,79.28,6,0.01
Vegetables and Vegetable Products,19,"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared",88,3.02,2.1,2.5,75,3,0.119
Vegetables and Vegetable Products,19,"Celeriac, raw",42,1.5,1.8,1.6,88,100,0.079
Fruits and Fruit Juices,19,"Pineapple, canned, heavy syrup pack, solids and liquids",78,0.35,0.8,16.9,78.99,1,0.009
Vegetables and Vegetable Products,19,"Soybeans, mature seeds, sprouted, cooked, steamed",81,8.47,0.8,0.52,79.45,10,0.617
Fruits and Fruit Juices,19,"Cherimoya, raw",75,1.57,3,12.87,79.39,7,0.233
Fruits and Fruit Juices,19,"Pears, canned, heavy syrup, drained",74,0.24,2.7,16.42,80.35,5,0.01
Vegetables and Vegetable Products,19,"Artichokes, (globe or french), cooked, boiled, drained, without salt",53,2.89,8.6,0.99,84.08,60,0.081
Fruits and Fruit Juices,19,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",73,0.34,1,18.11,80.26,6,0.01
Fruits and Fruit Juices,19,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",73,0.39,1,17.91,80.4,6,0.01
Vegetables and Vegetable Products,19,"Potatoes, frozen, whole, unprepared",78,2.38,1.2,0.78,79.3,25,0.041
Fruits and Fruit Juices,19,"Figs, raw",74,0.75,2.9,16.26,79.11,1,0.06
Fruits and Fruit Juices,19,"Abiyuch, raw",69,1.5,5.3,8.55,79.9,20,0.014
Vegetables and Vegetable Products,19,"Beets, cooked, boiled, drained",44,1.68,2,7.96,87.06,77,0.028
Fruits and Fruit Juices,19,"Kumquats, raw",71,1.88,6.5,9.36,80.85,10,0.103
Vegetables and Vegetable Products,19,"Lotus root, cooked, boiled, drained, without salt",66,1.58,3.1,0.5,81.42,45,0.021
Vegetables and Vegetable Products,19,"Potatoes, boiled, cooked in skin, flesh, without salt",87,1.87,1.8,0.87,76.98,4,0.026
Fruits and Fruit Juices,19,"Pears, canned, heavy syrup pack, solids and liquids",74,0.2,1.6,15.2,80.35,5,0.007
Vegetables and Vegetable Products,19,"Beets, raw",43,1.61,2.8,6.76,87.58,78,0.027
Vegetables and Vegetable Products,19,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",65,2.86,4.4,3.12,83.23,35,0.031
Vegetables and Vegetable Products,19,"Potatoes, boiled, cooked without skin, flesh, without salt",86,1.71,1.8,0.85,77.46,5,0.026
Vegetables and Vegetable Products,19,"Tomatoes, red, ripe, canned, packed in tomato juice",17,0.78,1,2.38,94.28,143,0.018
Vegetables and Vegetable Products,19,"Peas and carrots, frozen, cooked, boiled, drained, without salt",48,3.09,3.1,4.36,85.8,68,0.077
Fruits and Fruit Juices,18,"Fruit cocktail, canned, heavy syrup, drained",70,0.47,1.7,17.14,80.4,6,0.014
Vegetables and Vegetable Products,18,"Ginger root, raw",80,1.82,2,1.7,78.89,13,0.203
Vegetables and Vegetable Products,18,"Shallots, raw",72,2.5,3.2,7.87,79.8,12,0.017
Fruits and Fruit Juices,18,"Peaches, canned, heavy syrup, drained",72,0.52,1.2,14.66,80.62,6,0.013
Fruits and Fruit Juices,18,"Prune juice, canned",71,0.61,1,16.45,81.24,4,0.003
Vegetables and Vegetable Products,18,"Parsnips, raw",75,1.2,4.9,4.8,79.53,10,0.05
Fruits and Fruit Juices,18,"Soursop, raw",66,1,3.3,13.54,81.16,14,0.051
Vegetables and Vegetable Products,18,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",80,2.75,2.4,3.12,76.73,5,0.066
Vegetables and Vegetable Products,18,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",34,4.01,3.7,0.51,88.94,97,0.157
Vegetables and Vegetable Products,18,"Dandelion greens, raw",45,2.7,3.5,0.71,85.6,76,0.17
Fruits and Fruit Juices,18,"Plums, canned, purple, light syrup pack, solids and liquids",63,0.37,0.9,15.35,83,20,0.008
Vegetables and Vegetable Products,18,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",81,2.55,2.4,3.07,77.03,1,0.103
Vegetables and Vegetable Products,18,"Corn, sweet, yellow, canned, vacuum pack, no salt added",79,2.41,2,3.56,76.58,3,0.077
Vegetables and Vegetable Products,18,"Jerusalem-artichokes, raw",73,2,1.6,9.6,78.01,4,0
Fruits and Fruit Juices,18,"Figs, canned, light syrup pack, solids and liquids",69,0.39,1.8,16.15,81.26,1,0.02
Fruits and Fruit Juices,17,"Persimmons, japanese, raw",70,0.58,3.6,12.53,80.32,1,0.02
Fruits and Fruit Juices,17,"Grapes, red or green (European type, such as Thompson seedless), raw",69,0.72,0.9,15.48,80.54,2,0.054
Fruits and Fruit Juices,17,"Cherries, sweet, canned, light syrup pack, solids and liquids",67,0.61,1.5,15.79,81.56,3,0.034
Fruits and Fruit Juices,17,"Guavas, common, raw",68,2.55,5.4,8.92,80.8,2,0.272
Vegetables and Vegetable Products,17,"Seaweed, irishmoss, raw",49,1.51,1.3,0.61,81.34,67,0.033
Fruits and Fruit Juices,17,"Grapes, american type (slip skin), raw",67,0.63,0.9,16.25,81.3,2,0.114
Vegetables and Vegetable Products,17,"Parsnips, cooked, boiled, drained, without salt",71,1.32,3.6,4.8,80.24,10,0.05
Vegetables and Vegetable Products,17,"Potatoes, russet, flesh and skin, raw",79,2.14,1.3,0.62,78.58,5,0.026
Fruits and Fruit Juices,17,"Apples, canned, sweetened, sliced, drained, heated",67,0.18,2,14.84,82.28,3,0.07
Vegetables and Vegetable Products,17,"Beans, mung, mature seeds, sprouted, canned, drained solids",12,1.4,0.8,1.34,96.1,140,0.016
Fruits and Fruit Juices,17,"Apples, canned, sweetened, sliced, drained, unheated",67,0.18,1.7,15,82.36,3,0.08
Fruits and Fruit Juices,17,"Applesauce, canned, sweetened, without salt (includes USDA commodity)",68,0.16,1.2,14.67,81.98,2,0.03
Vegetables and Vegetable Products,17,"Potato, flesh and skin, raw",77,2.02,2.2,0.78,79.34,6,0.026
Vegetables and Vegetable Products,17,"Salsify, cooked, boiled, drained, without salt",68,2.73,3.1,2.9,81,16,0.041
Vegetables and Vegetable Products,17,"Carrots, raw",41,0.93,2.8,4.74,88.29,69,0.037
Fruits and Fruit Juices,17,"Litchis, raw",66,0.83,1.3,15.23,81.76,1,0.099
Vegetables and Vegetable Products,17,"Potatoes, red, flesh and skin, raw",70,1.89,1.7,1.29,80.96,18,0.035
Vegetables and Vegetable Products,17,"Peas, green, canned, no salt added, drained solids",69,4.42,4.1,4.16,81.7,2,0.062
Fruits and Fruit Juices,17,"Apples, dried, sulfured, stewed, without added sugar",57,0.22,2,13.32,84.13,20,0.012
Vegetables and Vegetable Products,16,"Carrots, baby, raw",35,0.64,2.9,4.76,90.35,78,0.023
Vegetables and Vegetable Products,16,"New Zealand spinach, raw",14,1.5,1.5,0.29,94,130,0.032
Vegetables and Vegetable Products,16,"Potatoes, white, flesh and skin, raw",69,1.68,2.4,1.15,81.58,16,0.026
Vegetables and Vegetable Products,16,"Burdock root, raw",72,1.53,3.3,2.9,80.09,5,0.025
Fruits and Fruit Juices,16,"Apricots, canned, light syrup pack, with skin, solids and liquids",63,0.53,1.6,14.89,82.56,4,0.003
Vegetables and Vegetable Products,16,"Seaweed, spirulina, raw",26,5.92,0.4,0.3,90.67,98,0.135
Vegetables and Vegetable Products,16,"Lima beans, immature seeds, canned, no salt added, solids and liquids",71,4.07,3.6,0.93,81.17,4,0.066
Fruits and Fruit Juices,16,"Blackberries, frozen, unsweetened",64,1.18,5,10.67,82.21,1,0.015
Fruits and Fruit Juices,16,"Tangerines, (mandarin oranges), canned, light syrup pack",61,0.45,0.7,15.49,83.06,6,0.012
Vegetables and Vegetable Products,16,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",45,3.11,4.6,0.84,86.5,53,0.119
Vegetables and Vegetable Products,16,"Corn, sweet, yellow, canned, cream style, no salt added",72,1.74,1.2,3.23,78.73,3,0.065
Fruits and Fruit Juices,16,"Cherries, sweet, raw",63,1.06,2.1,12.82,82.25,0,0.038
Vegetables and Vegetable Products,16,"Carrots, frozen, unprepared",36,0.78,3.3,4.76,90.04,68,0.047
Vegetables and Vegetable Products,16,"Corn, sweet, white, canned, cream style, no salt added",72,1.74,1.2,2.21,78.73,3,0.065
Vegetables and Vegetable Products,16,"Carrot juice, canned",40,0.95,0.8,3.91,88.87,66,0.027
Vegetables and Vegetable Products,16,"Leeks, (bulb and lower leaf-portion), raw",61,1.5,1.8,3.9,83,20,0.04
Fruits and Fruit Juices,16,"Passion-fruit juice, yellow, raw",60,0.67,0.2,14.25,84.21,6,0.015
Fruits and Fruit Juices,16,"Pear nectar, canned, without added ascorbic acid",60,0.11,0.6,15.16,84.01,4,0.001
Vegetables and Vegetable Products,16,"Mountain yam, hawaii, raw",67,1.34,2.5,0.31,81.44,13,0.022
Fruits and Fruit Juices,15,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",60,0.37,0.2,14.2,84.51,5,0.025
Fruits and Fruit Juices,15,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",60,0.37,0.2,14.2,84.51,5,0.025
Fruits and Fruit Juices,15,"Grapefruit, sections, canned, light syrup pack, solids and liquids",60,0.56,0.4,15.04,83.59,2,0.014
Fruits and Fruit Juices,15,"Mangos, raw",60,0.82,1.6,13.66,83.46,1,0.092
Fruits and Fruit Juices,15,"Pineapple, canned, juice pack, drained",60,0.51,1.3,14.26,83.51,1,0.008
Fruits and Fruit Juices,15,"Guanabana nectar, canned",59,0.11,0.1,13.07,84.72,8,0.029
Fruits and Fruit Juices,15,"Pineapple, canned, juice pack, solids and liquids",60,0.42,0.8,14.45,83.51,1,0.006
Nut and Seed Products,15,"Nuts, coconut water (liquid from coconuts)",19,0.72,1.1,2.61,94.99,105,0.176
Fruits and Fruit Juices,15,"Kiwifruit, gold, raw",60,1.23,2,10.98,83.22,3,0.149
Fruits and Fruit Juices,15,"Kiwifruit, green, raw",61,1.14,3,8.99,83.07,3,0.029
Fruits and Fruit Juices,15,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",57,0.4,1,13.93,84.37,6,0.01
Vegetables and Vegetable Products,15,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, without salt",56,0.66,2.9,5.17,84.29,21,0.027
Vegetables and Vegetable Products,15,"Carrots, frozen, cooked, boiled, drained, without salt",37,0.58,3.3,4.08,90.32,59,0.12
Fruits and Fruit Juices,15,"Papaya nectar, canned",57,0.17,0.6,13.91,85.02,5,0.047
Fruits and Fruit Juices,15,"Plums, canned, purple, juice pack, solids and liquids",58,0.51,0.9,14.22,84.02,1,0.002
Vegetables and Vegetable Products,15,"Corn, sweet, yellow, canned, no salt added, solids and liquids",61,1.95,1.7,3.18,82.61,12,0.077
Fruits and Fruit Juices,15,"Pears, canned, light syrup pack, solids and liquids",57,0.19,1.6,12.1,84.46,5,0.002
Vegetables and Vegetable Products,15,"Spinach, frozen, chopped or leaf, unprepared",29,3.63,2.9,0.65,90.17,74,0.041
Vegetables and Vegetable Products,15,"Drumstick leaves, cooked, boiled, drained, without salt",60,5.27,2,1,81.65,9,0.152
Fruits and Fruit Juices,15,"USDA Commodity, mixed fruit (peaches, pears, grapes), canned, light syrup, drained",57,0.46,1.6,11.25,84.6,5,0.01
Fruits and Fruit Juices,14,"Apricot nectar, canned, without added ascorbic acid",56,0.37,0.6,13.79,84.87,3,0.006
Fruits and Fruit Juices,14,"Feijoa, raw",55,0.98,6.4,8.2,84.94,3,0.148
Vegetables and Vegetable Products,14,"Peas and onions, frozen, cooked, boiled, drained, without salt",45,2.54,2.2,3.77,88.18,37,0.036
Fruits and Fruit Juices,14,"Peach nectar, canned, without added ascorbic acid",54,0.27,0.6,13.32,85.64,7,0.002
Fruits and Fruit Juices,14,"Peaches, canned, light syrup pack, solids and liquids",54,0.45,1.3,13.25,84.72,5,0.003
Fruits and Fruit Juices,14,"Pomegranate juice, bottled",54,0.15,0.1,12.65,85.95,9,0.077
Vegetables and Vegetable Products,14,"Carrots, cooked, boiled, drained, without salt",35,0.76,3,3.45,90.17,58,0.03
Fruits and Fruit Juices,14,"Apples, raw, without skin, cooked, microwave",56,0.28,2.8,11.61,84.63,1,0.068
Vegetables and Vegetable Products,14,"Parsley, fresh",36,2.97,3.3,0.85,87.71,56,0.132
Fruits and Fruit Juices,14,"USDA Commodity, mixed fruit (peaches, pears, grapes), canned, light syrup, solids and liquids",55,0.41,1.2,11.46,85.02,6,0.01
Fruits and Fruit Juices,14,"Pears, raw",57,0.36,3.1,9.75,83.96,1,0.022
Fruits and Fruit Juices,14,"Blueberries, raw",57,0.74,2.4,9.96,84.21,1,0.028
Fruits and Fruit Juices,14,"Cherries, sweet, canned, juice pack, solids and liquids",54,0.91,1.5,12.31,84.95,3,0.004
Vegetables and Vegetable Products,14,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt",14,0.4,1,1.18,96.06,107,0.016
Fruits and Fruit Juices,14,"Loganberries, frozen",55,1.52,5.3,7.7,84.61,1,0.011
Fruits and Fruit Juices,14,"Currants, red and white, raw",56,1.4,4.3,7.37,83.95,1,0.017
Vegetables and Vegetable Products,14,"Potatoes, canned, drained solids, no salt added",62,1.4,2.4,0.59,84.3,5,0.051
Vegetables and Vegetable Products,14,"New Zealand spinach, cooked, boiled, drained, without salt",12,1.3,1.4,0.25,94.8,107,0.027
Vegetables and Vegetable Products,14,"Celery, cooked, boiled, drained, without salt",18,0.83,1.6,2.37,94.11,91,0.04
Vegetables and Vegetable Products,14,"Broccoli raab, cooked",33,3.83,2.8,0.62,91.41,56,0.057
Vegetables and Vegetable Products,14,"Spinach, raw",23,2.86,2.2,0.42,91.4,79,0.063
Vegetables and Vegetable Products,14,"Turnips, raw",28,0.9,1.8,3.8,91.87,67,0.011
Fruits and Fruit Juices,14,"Passion-fruit juice, purple, raw",51,0.39,0.2,13.4,85.62,6,0.004
Fruits and Fruit Juices,14,"Figs, canned, water pack, solids and liquids",53,0.4,2.2,11.79,85.21,1,0.02
Vegetables and Vegetable Products,13,"Collards, frozen, chopped, cooked, boiled, drained, without salt",36,2.97,2.8,0.57,88.47,50,0.06
Vegetables and Vegetable Products,13,"Peas, green, canned, no salt added, solids and liquids",53,3.19,3.3,3.2,85.92,9,0.054
Fruits and Fruit Juices,13,"Tangerines, (mandarin oranges), raw",53,0.81,1.8,10.58,85.17,2,0.039
Fruits and Fruit Juices,13,"Apples, raw, without skin, cooked, boiled",53,0.26,2.4,11.01,85.47,1,0.058
Fruits and Fruit Juices,13,"Mango nectar, canned",51,0.11,0.3,12.45,86.63,5,0.014
Vegetables and Vegetable Products,13,"Squash, winter, hubbard, baked, without salt",50,2.48,4.9,4.9,85.1,8,0.128
Fruits and Fruit Juices,13,"Pineapple, canned, light syrup pack, solids and liquids",52,0.36,0.8,12.65,85.73,1,0.009
Fruits and Fruit Juices,13,"Lemon peel, raw",47,1.5,10.6,4.17,81.6,6,0.039
Vegetables and Vegetable Products,13,"Peas, edible-podded, frozen, cooked, boiled, drained, without salt",52,3.5,3.1,4.82,86.6,5,0.073
Vegetables and Vegetable Products,13,"Seaweed, laver, raw",35,5.81,0.3,0.49,85.03,48,0.061
Fruits and Fruit Juices,13,"Apples, raw, with skin",52,0.26,2.4,10.39,85.56,1,0.028
Vegetables and Vegetable Products,13,"Mushrooms, shiitake, cooked, without salt",56,1.56,2.1,3.84,83.48,4,0.05
Fruits and Fruit Juices,13,"Grape juice cocktail, frozen concentrate, diluted with 3 volume water, with added ascorbic acid",51,0.19,0.1,12.65,86.9,2,0.029
Vegetables and Vegetable Products,13,"Brussels sprouts, raw",43,3.38,3.8,2.2,86,25,0.062
Fruits and Fruit Juices,13,"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",52,0.17,0.2,9.95,86.44,5,0.021
Fruits and Fruit Juices,13,"Juice, apple and grape blend, with added ascorbic acid",50,0.16,0.2,10.92,87.05,7,0.023
Fruits and Fruit Juices,13,"Raspberries, raw",52,1.2,6.5,4.42,85.75,1,0.019
Fruits and Fruit Juices,13,"Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",51,0.4,0.2,12.47,86.6,1,0.002
Fruits and Fruit Juices,13,"Pineapple juice, canned, unsweetened, without added ascorbic acid",53,0.36,0.2,9.98,86.37,2,0.008
Fruits and Fruit Juices,13,"Pineapple juice, canned, unsweetened, with added ascorbic acid",53,0.36,0.2,9.98,86.37,2,0.008
Fruits and Fruit Juices,13,Orange Pineapple Juice Blend,51,0.41,0.2,10.57,87.24,4,0.011
Vegetables and Vegetable Products,13,"Squash, winter, butternut, frozen, unprepared",57,1.76,1.3,2.83,82.5,2,0.021
Vegetables and Vegetable Products,13,"Spinach, cooked, boiled, drained, without salt",23,2.97,2.4,0.43,91.21,70,0.043
Fruits and Fruit Juices,13,"Boysenberries, frozen, unsweetened",50,1.1,5.3,6.89,85.9,1,0.009
Fruits and Fruit Juices,13,"Pears, canned, juice pack, solids and liquids",50,0.34,1.6,9.7,86.47,4,0.004
Fruits and Fruit Juices,13,"Blueberries, frozen, unsweetened",51,0.42,2.7,8.45,86.59,1,0.053
Fruits and Fruit Juices,13,"Tangerine juice, canned, sweetened",50,0.5,0.2,11.8,87,1,0.013
Fruits and Fruit Juices,13,"Apricots, canned, juice pack, with skin, solids and liquids",48,0.63,1.6,10.74,86.62,4,0.003
Fruits and Fruit Juices,13,"Cherries, sour, red, raw",50,1,1.6,8.49,86.13,3,0.068
Vegetables and Vegetable Products,13,"Broccoli, cooked, boiled, drained, without salt",35,2.38,3.3,1.39,89.25,41,0.079
Fruits and Fruit Juices,12,"Pineapple, raw, all varieties",50,0.54,1.4,9.85,86,1,0.009
Vegetables and Vegetable Products,12,"Tomato and vegetable juice, low sodium",22,0.6,0.8,3.8,93.5,70,0.014
Fruits and Fruit Juices,12,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",47,0.14,0.1,10.93,87.9,7,0.018
Fruits and Fruit Juices,12,"Apricots, raw",48,1.4,2,9.24,86.35,1,0.027
Fruits and Fruit Juices,12,"Oranges, raw, navels",49,0.91,2.2,8.5,85.97,1,0.017
Vegetables and Vegetable Products,12,"Dandelion greens, cooked, boiled, drained, without salt",33,2,2.9,0.5,89.8,44,0.146
Vegetables and Vegetable Products,12,"Tomato products, canned, puree, without salt added",38,1.65,1.9,4.83,87.88,28,0.029
Fruits and Fruit Juices,12,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",46,0.46,1,10.86,87.44,4,0.001
Vegetables and Vegetable Products,12,"Celery, raw",16,0.69,1.6,1.83,95.43,80,0.042
Vegetables and Vegetable Products,12,"Waterchestnuts, chinese, canned, solids and liquids",50,0.88,2.5,2.46,86.42,8,0.016
Fruits and Fruit Juices,12,"Oranges, raw, all commercial varieties",47,0.94,2.4,9.35,86.75,0,0.015
Fruits and Fruit Juices,12,"Apples, raw, without skin",48,0.27,1.3,10.1,86.67,0,0.021
Fruits and Fruit Juices,12,"Cranberry juice, unsweetened",46,0.39,0.1,12.1,87.13,2,0.01
Vegetables and Vegetable Products,12,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",42,3.64,4.1,2.08,86.74,15,0.081
Fruits and Fruit Juices,12,"Orange juice, chilled, includes from concentrate",49,0.68,0.3,8.31,87.22,2,0.014
Fruits and Fruit Juices,12,"Mulberries, raw",43,1.44,1.7,8.1,87.68,10,0.027
Fruits and Fruit Juices,12,"Cherries, sweet, canned, water pack, solids and liquids",46,0.77,1.5,10.26,87.05,1,0.028
Fruits and Fruit Juices,12,"Orange juice, canned, unsweetened",47,0.68,0.3,8.76,87.72,4,0.018
Fruits and Fruit Juices,12,"Grapefruit juice, white, canned, sweetened",46,0.58,0.1,11.03,87.38,2,0.012
Fruits and Fruit Juices,12,"Oranges, raw, Florida",46,0.7,2.4,9.14,87.14,0,0.025
Fruits and Fruit Juices,12,"Peaches, canned, juice pack, solids and liquids",44,0.63,1.3,10.27,87.49,4,0.004
Fruits and Fruit Juices,12,"Cherries, sour, red, frozen, unsweetened",46,0.92,1.6,9.02,87.2,1,0.1
Fruits and Fruit Juices,12,"Plums, raw",46,0.7,1.4,9.92,87.23,0,0.017
Fruits and Fruit Juices,12,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",46,0.1,0.2,9.62,88.24,4,0.022
Fruits and Fruit Juices,12,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",46,0.1,0.2,9.62,88.24,4,0.022
Vegetables and Vegetable Products,12,"Cowpeas, young pods with seeds, raw",44,3.3,3.3,5.04,86,4,0.079
Vegetables and Vegetable Products,12,"Broccoli, raw",34,2.82,2.6,1.7,89.3,33,0.039
Vegetables and Vegetable Products,12,"Turnip greens, raw",32,1.5,3.2,0.81,89.67,40,0.07
Fruits and Fruit Juices,11,"Orange juice, chilled, includes from concentrate, fortified with calcium and vitamin D",47,0.68,0.3,8.31,87.22,2,0.014
Fruits and Fruit Juices,11,"Orange juice, chilled, includes from concentrate, fortified with calcium",47,0.68,0.3,8.31,87.22,2,0.014
Fruits and Fruit Juices,11,"Papayas, raw",43,0.47,1.7,7.82,88.06,8,0.081
Vegetables and Vegetable Products,11,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",37,1.4,3.1,2.41,90.2,26,0.039
Vegetables and Vegetable Products,11,"Hyacinth-beans, immature seeds, raw",46,2.1,3.3,4.08,87.87,2,0.088
Fruits and Fruit Juices,11,"Cranberries, raw",46,0.39,4.6,4.04,87.13,2,0.011
Fruits and Fruit Juices,11,"Orange-grapefruit juice, canned, unsweetened",43,0.6,0.1,10.18,88.64,3,0.011
Vegetables and Vegetable Products,11,"Taro leaves, raw",42,4.98,3.7,3.01,85.66,3,0.151
Fruits and Fruit Juices,11,"Blackberries, raw",43,1.39,5.3,4.88,88.15,1,0.014
Fruits and Fruit Juices,11,"Orange juice, raw",45,0.7,0.2,8.4,88.3,1,0.024
Fruits and Fruit Juices,11,"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water",45,0.68,0.2,8.4,88.1,1,0.007
Fruits and Fruit Juices,11,"Nectarines, raw",44,1.06,1.7,7.89,87.59,0,0.025
Fruits and Fruit Juices,11,"Melons, honeydew, raw",36,0.54,0.8,8.12,89.82,18,0.038
Fruits and Fruit Juices,11,"Tangerine juice, raw",43,0.5,0.2,9.9,88.9,1,0.024
Vegetables and Vegetable Products,11,"Sweet potato leaves, cooked, steamed, without salt",41,2.18,1.9,5.48,89.2,7,0.065
Vegetables and Vegetable Products,11,"Peas, edible-podded, boiled, drained, without salt",42,3.27,2.8,3.99,88.91,4,0.044
Fruits and Fruit Juices,11,"Grapes, canned, thompson seedless, water pack, solids and liquids",40,0.5,0.6,9.7,88.84,6,0.035
Fruits and Fruit Juices,11,"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",42,0.17,1.1,9.39,88.22,2,0.008
Fruits and Fruit Juices,11,"Applesauce, canned, unsweetened, with added ascorbic acid",42,0.17,1.1,9.39,88.22,2,0.008
Vegetables and Vegetable Products,11,"Brussels sprouts, cooked, boiled, drained, without salt",36,2.55,2.6,1.74,88.9,21,0.102
Vegetables and Vegetable Products,11,"Peas, edible-podded, raw",42,2.8,2.6,4,88.89,4,0.039
Vegetables and Vegetable Products,11,"Squash, winter, hubbard, raw",40,2,3.9,3.95,88,7,0.103
Vegetables and Vegetable Products,11,"Peppers, hot chili, red, raw",40,1.87,1.5,5.3,88.02,9,0.042
Fruits and Fruit Juices,11,"Pears, asian, raw",42,0.5,3.6,7.05,88.25,0,0.012
Vegetables and Vegetable Products,11,"Onions, cooked, boiled, drained, without salt",44,1.36,1.4,4.73,87.86,3,0.031
Fruits and Fruit Juices,11,"Plums, canned, purple, water pack, solids and liquids",41,0.39,0.9,10.1,88.35,1,0.001
Vegetables and Vegetable Products,10,"Chrysanthemum, garland, cooked, boiled, drained, without salt",20,1.64,2.3,2.01,92.49,53,0.022
Vegetables and Vegetable Products,10,"Lambsquarters, cooked, boiled, drained, without salt",32,3.2,2.1,0.62,88.9,29,0.052
Vegetables and Vegetable Products,10,"Squash, winter, butternut, raw",45,1,2,2.2,86.41,4,0.021
