Category,Score,Item,Calories,Protein,Dietary Fiber,Sugars,Water,Sodium,Saturated Fat
Fruits and Fruit Juices,97,"Olives, ripe, canned (small-extra large)",115,0.84,3.2,0,79.99,735,1.415
Vegetables and Vegetable Products,97,"Seaweed, wakame, raw",45,3.03,0.5,0.65,79.99,872,0.13
Vegetables and Vegetable Products,96,"Radishes, oriental, dried",271,7.9,23.9,37.32,19.68,278,0.218
Vegetables and Vegetable Products,93,Spinach souffle,169,7.89,0.7,1.85,70.73,566,7.445
Fruits and Fruit Juices,91,Candied fruit,322,0.34,1.6,80.68,16.7,98,0.01
Vegetables and Vegetable Products,91,"Pickles, cucumber, dill or kosher dill",12,0.6,1.1,1.31,94.33,875,0.036
Fruits and Fruit Juices,90,"Olives, ripe, canned (jumbo-super colossal)",81,0.97,2.5,0,84.34,735,0.909
Vegetables and Vegetable Products,90,"Peppers, hot chile, sun-dried",324,10.58,28.7,41.06,7.15,91,0.813
Vegetables and Vegetable Products,89,"Tomatoes, sun-dried",258,14.11,12.3,37.59,14.56,247,0.426
Vegetables and Vegetable Products,89,"Potatoes, hashed brown, home-prepared",265,3,3.2,1.49,47.25,342,1.883
Vegetables and Vegetable Products,89,"Shallots, freeze-dried",348,12.3,15.7,38.16,2,59,0.084
Vegetables and Vegetable Products,88,Tomato powder,302,12.91,16.5,43.9,3.06,134,0.062
Nut and Seed Products,87,"Nuts, coconut cream, canned, sweetened",357,1.17,0.2,51.5,28.97,36,15.472
Vegetables and Vegetable Products,86,"Radishes, hawaiian style, pickled",28,1.1,2.2,2,91.5,789,0.092
Vegetables and Vegetable Products,85,"Potato puffs, frozen, oven-heated",190,2.05,2.5,0.25,59.7,462,1.823
Vegetables and Vegetable Products,85,"Potatoes, mashed, dehydrated, flakes without milk, dry form",354,8.34,6.6,3.36,6.58,104,0.169
Vegetables and Vegetable Products,85,"Potatoes, mashed, dehydrated, granules without milk, dry form",372,8.22,7.1,3.47,3.63,67,0.138
Vegetables and Vegetable Products,84,"Potatoes, mashed, dehydrated, granules with milk, dry form",357,10.9,6.6,3.37,6.3,82,0.461
Vegetables and Vegetable Products,83,"Onions, dehydrated flakes",349,8.95,9.2,37.41,3.93,21,0.078
Vegetables and Vegetable Products,82,"Pickles, chowchow, with cauliflower onion mustard, sweet",121,1.5,1.5,23.88,68.9,527,0.149
Fruits and Fruit Juices,82,"Bananas, dehydrated, or banana powder",346,3.89,9.9,47.3,3,3,0.698
Vegetables and Vegetable Products,81,"Potatoes, french fried, shoestring, salt added in processing, frozen, oven-heated",199,2.9,2.8,0.31,56.62,400,1.267
Vegetables and Vegetable Products,80,Potato flour,357,6.9,5.9,3.52,6.52,55,0.09
Nut and Seed Products,79,"Nuts, coconut meat, raw",354,3.33,9,6.23,46.99,20,29.698
Vegetables and Vegetable Products,79,"Potato puffs, frozen, unprepared",177,1.97,1.9,0.25,62.67,428,1.539
Vegetables and Vegetable Products,78,"Cabbage, mustard, salted",28,1.1,3.1,1.4,92.1,717,0.013
Fruits and Fruit Juices,76,"Cranberries, dried, sweetened",308,0.07,5.7,65,16,3,0.103
Fruits and Fruit Juices,75,"Raisins, golden seedless",302,3.39,4,59.19,14.97,12,0.151
Vegetables and Vegetable Products,75,"Seaweed, agar, dried",306,6.21,7.7,2.97,8.68,102,0.061
Fruits and Fruit Juices,74,"Raisins, seedless",299,3.07,3.7,59.19,15.43,11,0.058
Vegetables and Vegetable Products,73,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated",166,2.51,2.3,0.29,63.07,391,1.082
Fruits and Fruit Juices,73,"Currants, zante, dried",283,4.08,6.8,67.28,19.21,8,0.028
Vegetables and Vegetable Products,73,"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",164,2.66,2.8,0.28,62.48,388,1.029
Vegetables and Vegetable Products,72,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",174,2.12,2.7,0.21,61.08,358,0.975
Fruits and Fruit Juices,71,"Dates, deglet noor",282,2.45,8,63.35,20.53,2,0.032
Vegetables and Vegetable Products,71,"Sauerkraut, canned, solids and liquids",19,0.91,2.9,1.78,92.52,661,0.034
Fruits and Fruit Juices,71,"Apples, dried, sulfured, uncooked",243,0.93,8.7,57.19,31.76,87,0.052
Fruits and Fruit Juices,71,"Litchis, dried",277,3.8,4.6,66.1,22.3,3,0.27
Vegetables and Vegetable Products,69,"Potatoes, french fried, steak fries, salt added in processing, frozen, oven-heated",152,2.57,2.6,0.25,64.85,373,0.737
Vegetables and Vegetable Products,68,"Pickles, cucumber, sweet (includes bread and butter pickles)",91,0.58,1,18.27,76.2,457,0.067
Fruits and Fruit Juices,67,"Pears, dried, sulfured, uncooked",262,1.87,7.5,62.2,26.69,6,0.035
Vegetables and Vegetable Products,67,"Potatoes, french fried, shoestring, salt added in processing, frozen, as purchased",167,2.41,2.2,0.2,63.7,322,1.157
Vegetables and Vegetable Products,65,"Mushrooms, shiitake, dried",296,9.58,11.5,2.21,9.5,13,0.225
Vegetables and Vegetable Products,65,"Tomato products, canned, sauce, with onions, green peppers, and celery",41,0.94,1.4,7.36,88.28,546,0.133
Fruits and Fruit Juices,64,"Plantains, green, fried",309,1.5,3.5,3.63,36.08,2,3.69
Fruits and Fruit Juices,64,"Tamarinds, raw",239,2.8,5.1,57.4,31.4,28,0.272
Vegetables and Vegetable Products,64,"Potatoes, french fried, all types, salt added in processing, frozen, unprepared",147,2.24,1.9,0.2,66.61,332,1.005
Fruits and Fruit Juices,63,"Figs, dried, uncooked",249,3.3,9.8,47.92,30.05,10,0.144
Fruits and Fruit Juices,63,Prune puree,257,2.1,3.3,39,30,23,0.016
Fruits and Fruit Juices,62,"Apricots, dried, sulfured, uncooked",241,3.39,7.3,53.44,30.89,10,0.017
Vegetables and Vegetable Products,59,"Potatoes, french fried, steak fries, salt added in processing, frozen, as purchased",133,2.19,1.9,0.2,69.29,317,0.688
Fruits and Fruit Juices,59,"Peaches, dried, sulfured, uncooked",239,3.61,8.2,41.74,31.8,7,0.082
Vegetables and Vegetable Products,59,"Tomato products, canned, sauce",24,1.32,1.5,4.25,91.12,524,0.025
Fruits and Fruit Juices,58,"Plums, dried (prunes), uncooked",240,2.18,7.1,38.13,30.92,2,0.088
Vegetables and Vegetable Products,57,"Corn pudding, home prepared",131,4.42,1.2,6.59,72.33,282,2.532
Vegetables and Vegetable Products,57,"Potatoes, mashed, home-prepared, whole milk and margarine added",113,1.96,1.5,1.41,75.25,333,0.972
Vegetables and Vegetable Products,56,"Potatoes, mashed, home-prepared, whole milk and butter added",113,1.86,1.5,1.43,75.61,317,2.613
Vegetables and Vegetable Products,54,"Tomato products, canned, sauce, with mushrooms",35,1.45,1.5,5.77,87.97,452,0.017
Fruits and Fruit Juices,53,"Plantains, yellow, fried, Latino restaurant",236,1.42,3.2,21.76,49.04,6,1.816
Nut and Seed Products,53,"Nuts, chestnuts, european, roasted",245,3.17,5.1,10.6,40.48,2,0.414
Fruits and Fruit Juices,53,"Papaya, canned, heavy syrup, drained",206,0.14,1.5,52.2,43.33,9,0.268
Nut and Seed Products,51,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",230,2.29,2.2,3.34,67.62,15,21.14
Vegetables and Vegetable Products,50,"Corn, sweet, white, canned, whole kernel, drained solids",81,2.62,2,2.4,76.92,323,0.154
Vegetables and Vegetable Products,49,"Mushrooms, canned, drained solids",25,1.87,2.4,2.34,91.08,425,0.038
Vegetables and Vegetable Products,49,"Potatoes, hashed brown, frozen, plain, prepared",218,3.16,2,1.57,56.1,34,4.493
Vegetables and Vegetable Products,48,"Sweet potato, cooked, candied, home-prepared",164,0.89,2.1,14.12,62.75,119,2.171
Vegetables and Vegetable Products,48,"Potatoes, mashed, home-prepared, whole milk added",83,1.91,1.5,1.48,78.48,302,0.302
Fruits and Fruit Juices,46,"Grape juice cocktail, frozen concentrate, undiluted, with added ascorbic acid",179,0.65,0.3,44.07,54.4,7,0.103
Fruits and Fruit Juices,45,"Pineapple juice, frozen concentrate, unsweetened, undiluted",179,1.3,0.7,43.6,53.1,3,0.007
Vegetables and Vegetable Products,45,"Corn, sweet, yellow, canned, vacuum pack, regular pack",79,2.41,2,3.56,76.58,272,0.077
Vegetables and Vegetable Products,44,"Potatoes, baked, skin, without salt",198,4.29,7.9,1.4,47.31,21,0.026
Vegetables and Vegetable Products,44,"Corn, sweet, yellow, canned, cream style, regular pack",72,1.74,1.2,3.23,78.73,285,0.065
Vegetables and Vegetable Products,44,"Corn, sweet, white, canned, cream style, regular pack",72,1.74,1.2,2.21,78.73,285,0.065
Fruits and Fruit Juices,44,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",166,0.51,0.4,38.83,57,25,0.06
Vegetables and Vegetable Products,43,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",68,4.47,4.9,2.99,82.29,273,0.143
Vegetables and Vegetable Products,43,"Beets, pickled, canned, solids and liquids",65,0.8,2.6,13.59,81.88,264,0.013
Fruits and Fruit Juices,42,"Maraschino cherries, canned, drained",165,0.22,3.2,38.77,57.27,4,0.039
Vegetables and Vegetable Products,42,"Onions, canned, solids and liquids",19,0.85,1.2,2.2,94.1,371,0.016
Vegetables and Vegetable Products,42,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",116,2.13,1.3,1.74,76.01,172,1.179
Fruits and Fruit Juices,41,"Cranberry sauce, canned, sweetened",151,0.2,1,37.9,60.65,29,0.013
Vegetables and Vegetable Products,41,"Beans, shellie, canned, solids and liquids",30,1.76,3.4,0.63,90.69,334,0.023
Fruits and Fruit Juices,40,"Orange juice, frozen concentrate, unsweetened, undiluted",159,2.39,0.8,37.37,57.85,3,0.024
Vegetables and Vegetable Products,39,"Potatoes, french fried, all types, salt not added in processing, frozen, oven-heated",172,2.66,2.6,0.28,61.51,32,1.029
Vegetables and Vegetable Products,38,"Spinach, canned, regular pack, drained solids",23,2.81,2.4,0.4,91.78,322,0.081
Vegetables and Vegetable Products,37,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",97,1.77,0.8,1.61,81.2,164,3.191
Fruits and Fruit Juices,37,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",146,1.97,0.4,34.16,62,3,0.064
Vegetables and Vegetable Products,36,"Sauerkraut, canned, low sodium",22,0.9,2.5,1.78,92.5,308,0.026
Fruits and Fruit Juices,36,"Avocados, raw, California",167,1.96,6.8,0.3,72.33,8,2.126
Vegetables and Vegetable Products,36,"Corn, sweet, yellow, canned, whole kernel, drained solids",79,2.46,1.9,3.04,77.8,186,0.161
Vegetables and Vegetable Products,35,"Cabbage, japanese style, fresh, pickled",30,1.6,3.1,1.3,91.4,277,0.013
Fruits and Fruit Juices,35,"Avocados, raw, all commercial varieties",160,2,6.7,0.66,73.23,7,2.126
Vegetables and Vegetable Products,34,"Cassava, raw",160,1.36,1.8,1.7,59.68,14,0.074
Vegetables and Vegetable Products,33,"Asparagus, canned, drained solids",19,2.14,1.6,1.06,93.98,287,0.147
Vegetables and Vegetable Products,33,"Garlic, raw",149,6.36,2.1,1,58.58,17,0.089
Vegetables and Vegetable Products,33,"Potatoes, french fried, all types, salt not added in processing, frozen, as purchased",150,2.24,1.9,0.2,66.61,23,0.94
Vegetables and Vegetable Products,33,"Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",61,1.95,1.7,2.83,82.61,195,0.077
Fruits and Fruit Juices,33,"Pears, dried, sulfured, stewed, without added sugar",127,0.91,6.4,27.41,64.44,3,0.017
Vegetables and Vegetable Products,33,"Seaweed, kelp, raw",43,1.68,1.3,0.6,81.58,233,0.247
Vegetables and Vegetable Products,32,"Peas, green, canned, regular pack, solids and liquids",58,3.01,3.3,3.2,85.13,185,0.086
Vegetables and Vegetable Products,32,"Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)",122,0.37,1.1,26.68,65.26,18,0.067
